,Open,High,Low,Close,Volume
2011-11-30 01:01:00,1.33299,1.33327,1.33291,1.33316,1723899993.8964844
2011-11-30 01:02:00,1.33318,1.33326,1.33313,1.33326,962300033.569336
2011-11-30 01:03:00,1.33326,1.3337,1.33326,1.3337,1264100036.6210938
2011-11-30 01:04:00,1.3337,1.33389,1.33366,1.33375,1985200042.7246091
2011-11-30 01:05:00,1.33372,1.3338,1.33366,1.33368,1452599945.0683594
2011-11-30 01:06:00,1.33369,1.33387,1.33368,1.33387,1036900024.4140624
2011-11-30 01:07:00,1.33385,1.33459,1.33385,1.33448,2061100006.103516
2011-11-30 01:08:00,1.33448,1.33454,1.33422,1.3344,1912200012.2070312
2011-11-30 01:09:00,1.33442,1.33467,1.33442,1.33459,1238600006.1035156
2011-11-30 01:10:00,1.33457,1.33468,1.33438,1.33441,1720099945.0683594
2011-11-30 01:11:00,1.33441,1.33454,1.33432,1.33433,1556499938.9648438
2011-11-30 01:12:00,1.33435,1.33439,1.33417,1.33433,1501699981.6894531
2011-11-30 01:13:00,1.33433,1.33453,1.33431,1.33451,1102500000.0
2011-11-30 01:14:00,1.33451,1.33459,1.33446,1.33451,867300033.5693359
2011-11-30 01:15:00,1.3345,1.33461,1.3343,1.33461,2087599945.0683596
2011-11-30 01:16:00,1.33463,1.33506,1.33448,1.33506,2314600067.138672
2011-11-30 01:17:00,1.33506,1.33506,1.33485,1.33488,1555099945.0683594
2011-11-30 01:18:00,1.33488,1.33552,1.33464,1.33535,2389400024.4140625
2011-11-30 01:19:00,1.33536,1.33564,1.3351,1.33564,2608500061.035156
2011-11-30 01:20:00,1.33565,1.33584,1.3355,1.3355,1773699951.171875
2011-11-30 01:21:00,1.3355,1.33553,1.3352,1.3352,1914499969.4824216
2011-11-30 01:22:00,1.33516,1.33518,1.33492,1.33507,1509299926.7578125
2011-11-30 01:23:00,1.33506,1.33515,1.33493,1.33513,1625299987.7929688
2011-11-30 01:24:00,1.33511,1.33513,1.33491,1.33492,1019499969.482422
2011-11-30 01:25:00,1.33496,1.33496,1.33471,1.33483,1192399978.6376953
2011-11-30 01:26:00,1.33481,1.3349,1.33471,1.33478,1031299972.5341796
2011-11-30 01:27:00,1.33477,1.33477,1.33461,1.33465,1357200012.2070312
2011-11-30 01:28:00,1.33465,1.33481,1.33453,1.33475,1873000030.517578
2011-11-30 01:29:00,1.33475,1.33475,1.33459,1.33475,1283200073.2421875
2011-11-30 01:30:00,1.33473,1.33512,1.33473,1.335,1486499938.9648438
2011-11-30 01:31:00,1.335,1.33512,1.33493,1.33511,1176399993.8964844
2011-11-30 01:32:00,1.33511,1.33511,1.33489,1.33504,1043700027.4658204
2011-11-30 01:33:00,1.33504,1.33533,1.33502,1.33531,1326600036.6210938
2011-11-30 01:34:00,1.33533,1.33553,1.33527,1.33531,1885899963.3789065
2011-11-30 01:35:00,1.33531,1.33531,1.33464,1.33464,2110399932.861328
2011-11-30 01:36:00,1.33464,1.33466,1.33451,1.33451,1422500000.0
2011-11-30 01:37:00,1.33451,1.33495,1.33439,1.3349,2330099945.0683594
2011-11-30 01:38:00,1.3349,1.33495,1.33483,1.33495,1105500030.517578
2011-11-30 01:39:00,1.33493,1.33495,1.33483,1.3349,831299972.5341797
2011-11-30 01:40:00,1.33491,1.33494,1.33472,1.33492,962900009.1552734
2011-11-30 01:41:00,1.33492,1.33497,1.33473,1.33475,1055400009.1552734
2011-11-30 01:42:00,1.33471,1.33475,1.33429,1.33439,1956000061.035156
